,gender,attractiveness,likes,matches
0,FEMALE,0.6983758949776891,266,7
1,FEMALE,0.3945745041066324,131,6
2,FEMALE,0.1724087150213789,57,3
3,FEMALE,0.1792997026279901,41,1
4,FEMALE,0.5074270104767916,173,4
5,FEMALE,0.7450633920763826,289,13
6,FEMALE,0.890319670401472,352,16
7,FEMALE,0.6913471295629993,267,9
8,FEMALE,0.22737303139537435,78,3
9,FEMALE,0.8598143464523715,334,10
10,FEMALE,0.3313107320923271,105,2
11,FEMALE,0.043003050434670564,6,0
12,FEMALE,0.6301321603888268,237,11
13,FEMALE,0.9870030356163496,387,17
14,FEMALE,0.6622054100935127,239,8
15,FEMALE,0.6429957054901596,235,11
16,FEMALE,0.744191578571964,293,11
17,FEMALE,0.42431657806269985,146,4
18,FEMALE,0.3318370969289849,99,3
19,FEMALE,0.2533028882401054,88,2
20,FEMALE,0.9369592626275984,371,15
21,FEMALE,0.6146842672400737,233,5
22,FEMALE,0.7651060369581018,289,14
23,FEMALE,0.3788639028404831,121,1
24,FEMALE,0.3460235495346793,129,4
25,FEMALE,0.7724037182615091,291,14
26,FEMALE,0.2554134752653874,80,3
27,FEMALE,0.5570648289846072,214,12
28,FEMALE,0.5903602530957625,194,6
29,FEMALE,0.6485539272738847,240,9
30,FEMALE,0.21910017413733995,68,0
31,FEMALE,0.19691125860333725,68,4
32,FEMALE,0.6987774332517606,260,11
33,FEMALE,0.7573939595679113,292,13
34,FEMALE,0.5308742153014628,177,5
35,FEMALE,0.31932141422855964,103,5
36,FEMALE,0.18604083083155498,74,3
37,FEMALE,0.8378800881861901,317,9
38,FEMALE,0.1570645536849059,44,1
39,FEMALE,0.0836228580813888,21,1
40,FEMALE,0.11629639585622276,32,2
41,FEMALE,0.3889208177128439,131,3
42,FEMALE,0.10252852829075654,24,3
43,FEMALE,0.6047456972405767,226,10
44,FEMALE,0.19083115565466535,46,2
45,FEMALE,0.9919840683585405,396,14
46,FEMALE,0.9233965925560917,364,13
47,FEMALE,0.09705205399967443,21,2
48,FEMALE,0.35843108424892967,149,7
49,FEMALE,0.6169672483725318,219,6
50,FEMALE,0.22474268183756374,64,1
51,FEMALE,0.6372341713970274,233,13
52,FEMALE,0.24340011970884878,80,4
53,FEMALE,0.9512898151265423,386,17
54,FEMALE,0.054019189030088954,12,0
55,FEMALE,0.8762549265617132,353,11
56,FEMALE,0.5194010948447199,197,6
57,FEMALE,0.9362895577890241,372,12
58,FEMALE,0.03726591588314476,10,0
59,FEMALE,0.9244131565537028,366,11
60,FEMALE,0.23561964615556463,72,4
61,FEMALE,0.41523314443628045,151,7
62,FEMALE,0.4638897514517074,166,7
63,FEMALE,0.446462064494103,137,6
64,FEMALE,0.7830024905435768,300,16
65,FEMALE,0.6367959002269505,249,13
66,FEMALE,0.2676990607463364,77,3
67,FEMALE,0.8818528375938153,346,10
68,FEMALE,0.285667183976662,96,4
69,FEMALE,0.17543539719136403,56,0
70,FEMALE,0.8263953002591103,318,8
71,FEMALE,0.5504216841191214,194,9
72,FEMALE,0.16680048260324198,65,5
73,FEMALE,0.20934020153961386,56,3
74,FEMALE,0.7692487782057147,292,6
75,FEMALE,0.40061411940469804,136,5
76,FEMALE,0.21038752227537483,70,4
77,FEMALE,0.9458656944438496,370,14
78,FEMALE,0.8035999199508141,295,14
79,FEMALE,0.10441616207792614,36,1
80,FEMALE,0.6020228293910478,227,5
81,FEMALE,0.016627716131641823,4,0
82,FEMALE,0.6544622797214783,273,17
83,FEMALE,0.6652215331471485,258,5
84,FEMALE,0.8581438034398643,341,12
85,FEMALE,0.7611077532464687,285,10
86,FEMALE,0.3306010714430022,116,3
87,FEMALE,0.11271064714029011,25,0
88,FEMALE,0.1293589230162333,35,4
89,FEMALE,0.05390604268345356,14,0
90,FEMALE,0.9660446951038685,386,10
91,FEMALE,0.24392256029516202,77,5
92,FEMALE,0.9563319606352905,379,10
93,FEMALE,0.9043881516279555,348,11
94,FEMALE,0.8313294945169816,332,7
95,FEMALE,0.2612817876073762,86,3
96,FEMALE,0.45381541638664,158,6
97,FEMALE,0.7119541451654038,279,12
98,FEMALE,0.3095893432918583,94,6
99,FEMALE,0.7885937209946409,310,14
100,FEMALE,0.3560636035266971,119,3
101,FEMALE,0.716202198921753,273,12
102,FEMALE,0.14391173221593156,45,3
103,FEMALE,0.6324979660040034,232,8
104,FEMALE,0.21182939166094128,70,3
105,FEMALE,0.6065647154978391,225,7
106,FEMALE,0.45044470561241945,140,5
107,FEMALE,0.9762910644792236,386,11
108,FEMALE,0.05061942603241987,13,0
109,FEMALE,0.5019424372834289,187,9
110,FEMALE,0.43752929523725703,158,3
111,FEMALE,0.6877397631288477,269,13
112,FEMALE,0.7831061229010631,303,9
113,FEMALE,0.9952753901753786,398,18
114,FEMALE,0.9292976603389735,369,11
115,FEMALE,0.07947811201086308,21,0
116,FEMALE,0.5710216258136881,198,7
117,FEMALE,0.024728343177323753,6,0
118,FEMALE,0.909537481820171,361,18
119,FEMALE,0.2823759064781829,84,2
120,FEMALE,0.9274926589174786,364,17
121,FEMALE,0.12936505699420253,41,2
122,FEMALE,0.16422666612555947,40,0
123,FEMALE,0.24458792734072765,79,1
124,FEMALE,0.9881718609348704,394,15
125,FEMALE,0.47884041069219585,176,8
126,FEMALE,0.5722602514066605,216,8
127,FEMALE,0.9380279121070236,379,11
128,FEMALE,0.11138057908199306,32,0
129,FEMALE,0.8423414028493218,331,9
130,FEMALE,0.826093335881078,312,7
131,FEMALE,0.6306615019994226,247,12
132,FEMALE,0.9240334962900237,366,12
133,FEMALE,0.9347687054739624,373,15
134,FEMALE,0.764498619579352,296,10
135,FEMALE,0.9959774372622812,401,19
136,FEMALE,0.3824986223452427,131,2
137,FEMALE,0.7227481284759416,284,11
138,FEMALE,0.6852883460988577,255,13
139,FEMALE,0.6599155471621374,247,9
140,FEMALE,0.8511489501766267,336,11
141,FEMALE,0.0867782614241821,23,1
142,FEMALE,0.9296639545753171,361,16
143,FEMALE,0.08046956053060184,26,2
144,FEMALE,0.28786257743339283,92,6
145,FEMALE,0.289188020385617,107,5
146,FEMALE,0.9584995724337436,384,14
147,FEMALE,0.45012088055242094,141,9
148,FEMALE,0.8228132126137478,329,18
149,FEMALE,0.7301801795365737,255,10
150,FEMALE,0.813369567477355,320,6
151,FEMALE,0.024333120703899813,3,0
152,FEMALE,0.7707993931925651,307,13
153,FEMALE,0.9797971991476169,396,15
154,FEMALE,0.08206569934838481,19,0
155,FEMALE,0.8373336766755559,322,12
156,FEMALE,0.8455419757209092,333,9
157,FEMALE,0.8831532088265762,355,10
158,FEMALE,0.2384921634778806,63,1
159,FEMALE,0.07772040200971642,19,0
160,FEMALE,0.7983156237426531,307,6
161,FEMALE,0.39417679794636706,131,5
162,FEMALE,0.01903573478528564,1,0
163,FEMALE,0.32313504919035063,105,1
164,FEMALE,0.2925887079875721,87,4
165,FEMALE,0.9371959486026442,376,15
166,FEMALE,0.42218290977978123,141,9
167,FEMALE,0.13648428930386614,44,2
168,FEMALE,0.4598744585983491,152,6
169,FEMALE,0.8307441283002109,325,9
170,FEMALE,0.6614805426722299,246,9
171,FEMALE,0.46723538333484094,162,10
172,FEMALE,0.6846765765512333,243,11
173,FEMALE,0.3196617715658213,102,3
174,FEMALE,0.7008475623389158,255,6
175,FEMALE,0.6178666898063914,228,8
176,FEMALE,0.6470046695828171,243,7
177,FEMALE,0.9169222752936353,364,14
178,FEMALE,0.12808587103826408,34,0
179,FEMALE,0.7432859843031104,286,14
180,FEMALE,0.33497072059410804,106,1
181,FEMALE,0.9832961121686616,389,14
182,FEMALE,0.6515359916422744,245,5
183,FEMALE,0.2770005116776798,82,0
184,FEMALE,0.8806634539577807,342,11
185,FEMALE,0.6705660249608429,239,11
186,FEMALE,0.21289771992630546,64,0
187,FEMALE,0.7317051287331697,289,8
188,FEMALE,0.5157181095276567,182,9
189,FEMALE,0.9971840970782253,400,16
190,FEMALE,0.8074659238858278,309,7
191,FEMALE,0.6019590073569477,222,9
192,FEMALE,0.6680494036859622,233,7
193,FEMALE,0.8942637536821992,353,13
194,FEMALE,0.651271560028672,239,9
195,FEMALE,0.9444587244849086,368,20
196,FEMALE,0.6771769744176764,270,8
197,FEMALE,0.2472617801430731,92,2
198,FEMALE,0.3740228515686339,138,5
199,FEMALE,0.17607080371849704,46,2
200,FEMALE,0.7438696990952671,272,13
201,FEMALE,0.9656614293007849,388,13
202,FEMALE,0.8221732957609141,332,8
203,FEMALE,0.23864763448773418,80,3
204,FEMALE,0.19096576976996493,61,1
205,FEMALE,0.7650581221677311,299,13
206,FEMALE,0.7319878220729338,270,13
